u_norm,T_norm
0.999870517,1.00117357
0.999877488,1.00109998
0.99988378,1.00102783
0.999889424,1.00095739
0.999894455,1.00088888
0.99989892,1.00082252
0.999902873,1.00075847
0.999906381,1.0006969
0.999909516,1.0006379
0.999912359,1.00058153
0.999915009,1.00052779
0.999917584,1.00047667
0.999920211,1.00042814
0.999923017,1.00038219
0.999926106,1.00033887
0.999929548,1.00029825
0.99993337,1.00026038
0.999937576,1.00022526
0.99994215,1.00019279
0.99994708,1.00016279
0.999952352,1.00013511
0.999957973,1.0001096
0.999963949,1.00008621
0.999970305,1.00006493
0.999977063,1.00004576
0.999984253,1.00002865
0.999991893,1.00001347
1.0,1.0
