u_norm,T_norm
0.0,1.76656305
0.0175570253,1.84291028
0.0342709016,1.91204261
0.0503045759,1.97522202
0.065780285,2.03337252
0.0807907647,2.08718744
0.0954057944,2.13719373
0.109678769,2.18379987
0.123651831,2.22733031
0.137357178,2.2680419
0.150821775,2.30614758
0.164064215,2.34181458
0.177103113,2.37519335
0.189950746,2.40640426
0.202618554,2.43555545
0.215115837,2.46274168
0.227449561,2.48804603
0.239626709,2.51154639
0.251651541,2.53331105
0.263528168,2.5534048
0.275260197,2.57188875
0.286848726,2.58881788
0.298295878,2.60424719
0.309603295,2.61822933
0.320771382,2.63081415
0.331799427,2.64204949
0.342687563,2.65198345
0.35343556,2.66066307
0.364042826,2.6681345
0.374507426,2.67444266
0.384829361,2.67963337
0.395005891,2.68375074
0.405037194,2.68683993
0.414920851,2.68894489
0.424655944,2.69010977
0.434240951,2.69037833
0.44367493,2.68979402
0.452956457,2.68839993
0.462084662,2.68623872
0.471058354,2.68335266
0.479877584,2.67978307
0.488540985,2.67557117
0.497048472,2.67075707
0.505400079,2.66537994
0.513595266,2.65947858
0.521634954,2.65308984
0.529518951,2.64625049
0.537248458,2.63899511
0.544823544,2.63135827
0.552245636,2.62337213
0.559515476,2.61506833
0.5666349,2.60647604
0.573605097,2.59762383
0.580427682,2.58853837
0.587104489,2.57924466
0.593636984,2.56976678
0.600027789,2.56012576
0.606278193,2.5503432
0.612390575,2.54043773
0.618366637,2.5304277
0.624208882,2.52032883
0.629919164,2.51015664
0.635499466,2.49992523
0.640951882,2.48964733
0.646278514,2.47933457
0.651481467,2.46899761
0.656562677,2.45864655
0.661524644,2.44828958
0.666369581,2.43793475
0.671099793,2.4275893
0.675717822,2.4172594
0.680226163,2.4069508
0.684627684,2.3966679
0.688925002,2.38641534
0.693121065,2.37619659
0.697218915,2.36601455
0.701221395,2.35587219
0.705131528,2.34577154
0.708952426,2.33571379
0.712687192,2.32569941
0.716339015,2.3157278
0.719910876,2.30579809
0.723406124,2.29590767
0.72682776,2.2860543
0.730178756,2.27623521
0.733462016,2.26644706
0.736680388,2.25668595
0.73983641,2.2469486
0.742932989,2.23723064
0.745972794,2.22752872
0.748959089,2.21783775
0.75189516,2.20815238
0.754784706,2.19846531
0.757631357,2.18876868
0.760438835,2.17905325
0.763210809,2.16930891
0.765950814,2.15952548
0.768662314,2.14969376
0.771348561,2.13980713
0.774012626,2.12986178
0.776657583,2.11985569
0.779286518,2.1097874
0.781902677,2.0996543
0.784509259,2.08945291
0.78710965,2.07917793
0.78970719,2.06882409
0.792305136,2.05838694
0.794906448,2.04786418
0.79751366,2.03725646
0.800128949,2.02656731
0.80275446,2.01580116
0.805392188,2.00496119
0.808043736,1.99404521
0.810709795,1.98304489
0.813390188,1.97194854
0.816083595,1.96074965
0.818787972,1.94945125
0.821501441,1.93806172
0.82422385,1.92658444
0.826956925,1.91501457
0.829703963,1.90333694
0.832468947,1.89152829
0.835254285,1.87957121
0.83806032,1.86746473
0.840887002,1.8552177
0.843735634,1.8428418
0.846608258,1.83035248
0.84950504,1.8177668
0.852424526,1.80508724
0.855365598,1.79229429
0.858327343,1.77936895
0.861308193,1.76631128
0.864306313,1.75312932
0.867319234,1.73982832
0.870341695,1.72642096
0.873366707,1.71292554
0.876388823,1.69934371
0.879403607,1.68566387
0.882406721,1.67189872
0.885395527,1.6581037
0.888371016,1.64433993
0.891336373,1.63064066
0.894295649,1.61700361
0.897254271,1.60339348
0.900214939,1.58975552
0.903172696,1.57606543
0.90611825,1.56235273
0.909044587,1.54866573
0.911946448,1.53505142
0.914817678,1.52153625
0.917652176,1.50813358
0.920446678,1.49487233
0.923201045,1.48177514
0.925915822,1.46884539
0.928592392,1.45607507
0.931229741,1.44346412
0.933824021,1.43102917
0.936373087,1.41876555
0.938876343,1.40664822
0.941332177,1.39465975
0.943739495,1.38278513
0.946101094,1.37100909
0.948419495,1.35933385
0.950691151,1.34780828
0.952911083,1.33649655
0.95507639,1.32543507
0.957186358,1.31461282
0.959242441,1.3040066
0.961247942,1.29361514
0.963203618,1.2833998
0.965103451,1.27330291
0.966940149,1.26331512
0.968712551,1.2534641
0.970424554,1.24377367
0.972078786,1.23427982
0.973674113,1.225039
0.975208056,1.2160783
0.976677661,1.2074005
0.978078851,1.19901442
0.979408757,1.19091532
0.980669312,1.18308422
0.981865434,1.17550626
0.983000882,1.16817378
0.984077009,1.16108098
0.985095348,1.15421962
0.9860599,1.14757695
0.986974339,1.14114559
0.987842218,1.13492344
0.98866821,1.12889887
0.989455868,1.12306381
0.990208321,1.1174011
0.990929354,1.1118686
0.991620791,1.10642367
0.992282064,1.10103969
0.992912784,1.09570893
0.993513528,1.09043324
0.994085342,1.08520739
0.994628485,1.08002708
0.995141856,1.07490301
0.995624617,1.06985672
0.996077006,1.06490501
0.996499103,1.06005564
0.996890707,1.0553187
0.997252233,1.05071447
0.99758419,1.04627031
0.997886671,1.04201224
0.998159896,1.03796321
0.998404491,1.0341394
0.998621211,1.03054423
0.998810438,1.02717807
0.998972692,1.02404598
0.999109484,1.02115418
0.999223176,1.0185054
0.999316961,1.01610086
0.999394567,1.01393498
0.99945944,1.01199236
0.999514251,1.0102545
0.999561216,1.00870861
0.999602495,1.00734448
0.999640087,1.00614741
0.999675401,1.00509853
0.999709082,1.00417928
0.999741399,1.00338005
0.999772636,1.0026971
0.999802929,1.00212002
0.999832133,1.00163276
0.999859994,1.00122337
0.999886113,1.00088527
0.999910134,1.0006108
0.999931887,1.00038847
0.999951193,1.00020662
0.999967875,1.00005633
0.999981921,0.999931924
0.999992797,0.99997405
0.999992819,0.999978632
0.999992896,0.999968671
0.999992976,0.999982454
0.999993088,0.999962732
0.999993252,0.999985833
0.999993353,0.99995654
0.999993483,0.999829272
0.999993619,0.999989096
0.999993688,0.999950362
0.99999405,0.99999226
0.999994089,0.999944439
