u_norm,T_norm
0.0,6.33200794
0.0164905503,6.70931538
0.0320641322,7.04739311
0.0469823722,7.35492201
0.0613598626,7.63693444
0.0752967322,7.89736345
0.0888674255,8.13913327
0.102127789,8.36445779
0.115120308,8.57504275
0.127876604,8.77220359
0.140422375,8.95700161
0.152774903,9.13025056
0.16495107,9.29266581
0.176961685,9.44480774
0.188816607,9.58717137
0.200523685,9.72018468
0.212088584,9.84421857
0.223516965,9.95961915
0.23481206,10.0666883
0.245976872,10.165712
0.257014121,10.2569624
0.267924076,10.3406834
0.278708161,10.4171232
0.28936729,10.486521
0.299901271,10.5491053
0.310308959,10.6050978
0.320589989,10.6547245
0.330743733,10.6982085
0.340769236,10.7357711
0.35066437,10.7676298
0.360428879,10.7940084
0.370059964,10.8151238
0.379557675,10.8311996
0.388919717,10.8424535
0.398145226,10.8491049
0.407232964,10.8513705
0.416182257,10.8494647
0.424992108,10.8435987
0.433662138,10.8339806
0.442191684,10.8208151
0.450581404,10.8043009
0.458830603,10.7846348
0.466939874,10.7620065
0.474909949,10.7365995
0.482741002,10.7085941
0.490434641,10.6781598
0.497991283,10.6454649
0.505412683,10.6106665
0.512699482,10.5739208
0.519853457,10.5353725
0.526875639,10.4951643
0.533768068,10.4534273
0.540531985,10.4102913
0.54716893,10.3658786
0.553680587,10.3203046
0.560068178,10.2736824
0.566333925,10.2261118
0.57247879,10.1776959
0.578504631,10.1285249
0.584412673,10.0786884
0.590204835,10.0282645
0.595882391,9.97733102
0.601446648,9.92596081
0.606899096,9.87422044
0.61224113,9.82217346
0.617474115,9.76988043
0.622599202,9.71740136
0.627618199,9.66478692
0.632532532,9.61208906
0.637343779,9.55935507
0.642053814,9.50662571
0.646664547,9.45393749
0.651178412,9.40131667
0.655597755,9.34878584
0.659925346,9.29635691
0.664164297,9.24403136
0.668317522,9.19180631
0.672388129,9.1396699
0.676379196,9.08760437
0.680293669,9.03558824
0.684134318,8.98359802
0.687903535,8.93161249
0.691603809,8.87960764
0.695237269,8.82756442
0.698805936,8.77546613
0.702311981,8.72329649
0.705757589,8.67104265
0.709144849,8.61869651
0.712476188,8.56624732
0.715753526,8.51369515
0.718978813,8.46104417
0.722153466,8.40831167
0.725278956,8.3555157
0.728356573,8.30267771
0.731387847,8.24981737
0.734374566,8.19695409
0.737318829,8.14410625
0.740223355,8.09128686
0.743091397,8.03850738
0.745926619,7.98577154
0.748732962,7.93306851
0.75151415,7.88038114
0.754273638,7.8276886
0.7570146,7.77496759
0.759740131,7.72219385
0.762453141,7.66934545
0.765156492,7.61638993
0.767852924,7.56327961
0.770544581,7.50996548
0.773232817,7.45640543
0.775918375,7.40255663
0.778601161,7.34837821
0.781280175,7.29384919
0.783953379,7.23897126
0.786618269,7.18374771
0.789272566,7.12816276
0.791914379,7.07216191
0.794540519,7.01569153
0.79714647,6.95875558
0.799728217,6.90140425
0.802284388,6.84366043
0.804816404,6.78551747
0.807326134,6.72703033
0.809815045,6.6683323
0.812286384,6.60951857
0.814745784,6.55055496
0.817200517,6.49129289
0.819658105,6.43156516
0.822123534,6.37131385
0.824597308,6.31066451
0.82707598,6.24982298
0.829556231,6.18897136
0.832039534,6.12821972
0.834533433,6.06745191
0.837046758,6.0063475
0.839583263,5.94457311
0.842145712,5.88185292
0.844733176,5.81814218
0.847338449,5.75364953
0.849952367,5.68855369
0.852569918,5.62290377
0.855189875,5.55674622
0.857812186,5.4902564
0.860435579,5.42370037
0.863056186,5.35737404
0.865667779,5.29149437
0.86826526,5.22592264
0.870844627,5.16059554
0.873400157,5.09582075
0.875925181,5.03169477
0.878416516,4.96792735
0.880872739,4.90404518
0.883295608,4.8397407
0.885688818,4.77516489
0.88805338,4.71079205
0.890388348,4.64688897
0.892693535,4.58333253
0.894968912,4.52019515
0.897213473,4.4575495
0.899426548,4.39534089
0.901616863,4.33358844
0.903796477,4.27221417
0.905967886,4.21098429
0.908125829,4.14974327
0.910258442,4.08868454
0.912352386,4.02844413
0.914395596,3.96951097
0.916374457,3.91177662
0.918278685,3.85525226
0.92010812,3.80017296
0.921874899,3.74649432
0.923589398,3.69422946
0.925259683,3.64346696
0.926897536,3.59388666
0.928514534,3.54490192
0.930115283,3.49620948
0.931704068,3.44798948
0.933286793,3.4003494
0.934861311,3.35319037
0.936416825,3.30653865
0.937945702,3.26045312
0.939447498,3.21499451
0.940929919,3.170411
0.942405998,3.12678629
0.943883252,3.08385822
0.945353481,3.04160031
0.946802671,3.00008429
0.94822549,2.95928152
0.949620455,2.91903506
0.950993106,2.87919957
0.952357166,2.83973316
0.953717277,2.8007025
0.955070431,2.76192159
0.956415374,2.72300676
0.957750302,2.68380912
0.959064722,2.6444891
0.960348239,2.60531006
0.961601313,2.56633949
0.962827076,2.52739572
0.964028087,2.48842335
0.965205762,2.44990219
0.966362713,2.412403
0.967505704,2.37592611
0.96863859,2.34011644
0.969759383,2.30466865
0.970864058,2.26967398
0.971948226,2.23525717
0.973005661,2.20124674
0.974033283,2.16762569
0.9750299,2.13450251
0.975994249,2.10199485
0.976927127,2.0703238
0.977827909,2.03957232
0.978696599,2.0096724
0.97954088,1.98055633
0.980371486,1.95205992
0.981193523,1.92410297
0.982006154,1.89664976
0.982808727,1.86969057
0.983598792,1.84330507
0.98437409,1.81751485
0.985133974,1.79225695
0.985876708,1.76735186
0.986601708,1.74250455
0.987309071,1.71762047
0.987996534,1.69285568
0.988661798,1.66837536
0.989303625,1.64426514
0.989920413,1.62070694
0.990512798,1.59789004
0.991085029,1.57578162
0.991640187,1.5541921
0.992177568,1.532988
0.992695015,1.51214907
0.993192135,1.49172849
0.993669933,1.47169918
0.994129184,1.45203982
0.994570346,1.43273713
0.994992728,1.41365019
0.995393859,1.39467834
0.995771748,1.37584461
0.996125039,1.35719068
0.996450894,1.33873652
0.996746135,1.32058919
0.997010291,1.30299403
0.997246634,1.28617151
0.9974602,1.27020502
0.997656334,1.25504529
0.997839083,1.24057373
0.998010576,1.22666113
0.99817171,1.21326572
0.998323377,1.20035675
0.998466054,1.18788551
0.998599638,1.17587186
0.998723879,1.16442918
0.998839208,1.15367763
0.99894616,1.14359078
0.999044835,1.1340637
0.999134744,1.12504223
0.999215236,1.11649682
0.999286348,1.10835435
0.999349204,1.10052274
0.999405347,1.09299369
0.999456059,1.08583975
0.999502449,1.07911081
0.999545341,1.07277633
0.999584983,1.06675768
0.999621075,1.06101819
0.999653479,1.05560766
0.999682777,1.05061376
0.999709546,1.04607948
0.999733747,1.04197196
0.999755132,1.03824251
0.999773824,1.03487054
0.999790062,1.0318102
0.999804092,1.02898933
0.999816165,1.02636816
0.999826549,1.02394489
0.999835513,1.02171902
0.999843439,1.01967687
0.999850718,1.01778383
0.999857672,1.01601099
0.999864531,1.01435772
0.999871241,1.01283978
0.999877599,1.01146088
0.99988352,1.01022087
0.999889063,1.00912525
0.999894278,1.00817164
0.999899216,1.00734163
0.999904034,1.00661788
0.999908877,1.00598767
0.999913748,1.00543713
0.999918478,1.00494405
0.999922724,1.00448366
0.999926166,1.00404154
0.999928602,1.0006287
0.999928638,1.00074086
0.99992868,1.00361423
0.999928976,1.00053043
0.999929077,1.00086836
0.999929716,1.00102954
0.999929724,1.0004324
0.99993032,1.00320258
0.999930362,1.00122939
0.999930832,1.00147079
0.999931083,1.00036284
0.999931194,1.00175326
0.999931212,1.00281026
0.999931455,1.00207774
