u_norm,T_norm
0.0,5.3757615
0.02672632,5.40966718
0.0532966323,5.43496919
0.0797346549,5.45197563
0.106045217,5.46093087
0.132210333,5.462046
0.158186048,5.45554092
0.183907133,5.44168617
0.20929369,5.4208302
0.234254132,5.39341563
0.258696021,5.35997455
0.282523475,5.32112785
0.30565509,5.27754635
0.328015003,5.22994628
0.34954391,5.17904956
0.370197329,5.12556446
0.389944826,5.07016812
0.408772516,5.01348176
0.42667715,4.95607288
0.443667792,4.89843977
0.459763434,4.84101012
0.474987862,4.78415427
0.489373013,4.72817022
0.502954789,4.67329682
0.515770937,4.61972217
0.527860275,4.56758859
0.539263741,4.51698993
0.550022184,4.46798366
0.560175594,4.42059736
0.569761828,4.37483831
0.578819112,4.33068508
0.587381706,4.28811162
0.595484477,4.24706763
0.603158285,4.20750444
0.610433109,4.16936176
0.61733664,4.13257743
0.623895031,4.09708608
0.63013234,4.06282379
0.636071067,4.02972613
0.641731692,3.99773228
0.647133806,3.96678015
0.652294688,3.93681512
0.657230961,3.9077815
0.661958183,3.87962512
0.666490544,3.85229501
0.670841984,3.82573797
0.67502489,3.79990779
0.679051453,3.77475666
0.682932495,3.75024191
0.686678582,3.7263191
0.690299078,3.70294785
0.693803102,3.68008637
0.697198846,3.65769694
0.700493895,3.63574396
0.703695156,3.61419528
0.706808795,3.59302376
0.709841109,3.5722016
0.712797618,3.55170684
0.715683999,3.53151675
0.718505344,3.51161313
0.721266848,3.49197664
0.723973538,3.4725891
0.726630716,3.45342991
0.729243572,3.43447502
0.731816628,3.41570037
0.734353638,3.39708529
0.736857722,3.37861311
0.739332037,3.36027074
0.741779209,3.34205156
0.744201473,3.32395452
0.746600715,3.30598027
0.748978644,3.28812622
0.751337227,3.27038517
0.753678542,3.25274616
0.756005418,3.23519206
0.758321454,3.21770192
0.760629399,3.20025543
0.762929934,3.18283919
0.765222592,3.16545464
0.767507512,3.14810837
0.769786578,3.13079084
0.772062659,3.1134751
0.774337556,3.09613473
0.776611705,3.07875809
0.778886047,3.06134355
0.781162038,3.04388848
0.783440912,3.02638889
0.785723765,3.008844
0.788011597,2.99125506
0.790305223,2.97361841
0.792606365,2.95592286
0.794918263,2.93815534
0.79724468,2.92029723
0.799586468,2.90232902
0.801942438,2.88424004
0.804310748,2.86602316
0.80668924,2.84767943
0.809075473,2.82923695
0.811467465,2.81072207
0.813863452,2.79212601
0.816263743,2.77342774
0.818670972,2.75463116
0.821086631,2.73574021
0.823508298,2.71675417
0.825930544,2.69770027
0.828348531,2.67861872
0.830761068,2.65952595
0.833170251,2.64040456
0.835580408,2.62123591
0.837997828,2.60198171
0.840426449,2.58259224
0.842863467,2.56306612
0.845307431,2.54341286
0.847764214,2.52361504
0.850235789,2.50369517
0.852716349,2.48369278
0.855200999,2.46358872
0.857686202,2.44334946
0.860175995,2.42292822
0.862680817,2.40221835
0.86520183,2.38118845
0.867735514,2.35995158
0.87027695,2.33862701
0.872825506,2.31721718
0.875388524,2.29565397
0.877966925,2.27391449
0.880560774,2.25204871
0.883170616,2.22997121
0.885788676,2.20766944
0.888408348,2.18529208
0.891028818,2.16291133
0.893648568,2.14049792
0.896261572,2.11804462
0.898860284,2.09556403
0.901442976,2.07301084
0.904018689,2.05027814
0.906596143,2.02740424
0.909165308,2.00448013
0.911719551,1.98154087
0.914271297,1.9587622
0.916826097,1.93624293
0.919368999,1.91379935
0.921881788,1.89133446
0.924367191,1.86884549
0.92683645,1.84624432
0.929291573,1.82359886
0.931720816,1.80087628
0.934114746,1.77809193
0.936478465,1.75538851
0.938816627,1.73286072
0.941131396,1.71058171
0.94342199,1.68854191
0.945679711,1.66683669
0.947903552,1.64528859
0.950080554,1.62381072
0.952202378,1.60264678
0.954273744,1.58175483
0.956292052,1.56112864
0.95826374,1.54079136
0.960199142,1.52074693
0.962101329,1.50094814
0.963970879,1.48130333
0.965799864,1.46191891
0.967588214,1.44283318
0.969345179,1.42396736
0.971071807,1.40537105
0.972764375,1.38720883
0.974413188,1.36956113
0.976010464,1.35239558
0.977552777,1.33558619
0.979037531,1.31911007
0.98047828,1.30298253
0.981879838,1.28719868
0.983226678,1.27174003
0.984508133,1.25658404
0.985719343,1.241789
0.986860803,1.22741327
0.987936535,1.21341014
0.988949233,1.19980656
0.989894906,1.18668257
0.990774156,1.17409759
0.991597798,1.16210314
0.992376172,1.15073026
0.993112997,1.13993794
0.993802458,1.12971495
0.994439563,1.11997496
0.995026606,1.11057877
0.995564263,1.10161315
0.996055825,1.09316097
0.996509035,1.08513716
0.996924698,1.0774482
0.997300874,1.07009547
0.997642435,1.06312094
0.997953337,1.05653225
0.9982353,1.05027538
0.998492418,1.04435592
0.998723952,1.03880101
0.998930044,1.03360509
0.999115833,1.02880098
0.99928412,1.0243787
0.999436347,1.02027664
0.999574729,1.01645582
0.999697644,1.01291212
0.99980374,1.0096545
0.999895518,1.00669241
0.999949725,0.999301279
0.999953075,0.999211421
0.999955231,0.999270417
0.999965557,0.99900185
0.999968794,0.999118804
0.999969107,1.00008198
0.999969698,0.999986889
0.999972099,1.00013358
0.999974016,0.999850605
0.999975217,1.00406646
0.999978438,1.00013901
0.999982078,0.999674993
0.999986893,0.998687445
0.999987841,1.00009535
0.999989078,0.998844838
0.999993796,0.999461042
1.0,1.0
1.000009,0.999208522
1.00001438,0.998453575
1.00001619,0.998289731
1.00002745,0.998916542
1.00004279,0.997955335
1.00004453,1.00180503
1.00004885,0.998585005
1.000052,0.997821413
1.00007261,0.997365835
1.00007285,0.998215628
1.00009254,0.997287937
1.00009911,0.997811769
1.00010224,0.996701769
1.00010584,0.99988012
1.00012728,0.997377584
1.00013031,0.99598126
1.00013626,0.996713018
1.00015583,0.995223593
1.00015697,0.996917351
1.00016179,0.99824579
1.00017821,0.994446427
1.00018138,0.996118503
1.00018776,0.99643547
1.00019723,0.993665608
1.00021194,0.996874009
1.0002129,0.992895
1.00021918,0.995937231
1.00022541,0.992144632
1.0002257,0.995517911
1.00023525,0.991426
1.0002431,0.990749621
1.00024965,0.990117495
1.00025069,0.995429218
1.00025485,0.995729535
1.0002554,0.989529808
1.00026072,0.988987944
1.00026589,0.988493689
1.00026722,0.994943499
1.00027113,0.988047562
1.00027658,0.987648364
1.00028175,0.994918311
1.00028222,0.987293945
1.00028785,0.986982444
1.00029154,0.994777997
1.00029335,0.986712848
1.00029877,0.986484677
1.00030439,0.986297393
1.00030444,0.994408914
1.00031057,0.986150053
1.00031175,0.994409924
1.00031768,0.986041341
1.00032351,0.993992445
1.00032611,0.985969601
1.00033599,0.993912658
1.00033619,0.985932758
1.00034015,0.993906934
1.00034818,0.985928717
1.00035089,0.99337541
1.00036094,0.99345946
1.00036213,0.985956456
1.00036651,0.993409938
1.00037224,0.992942093
1.0003778,0.986016486
1.00037903,0.993062863
1.00038628,0.992672693
1.00039008,0.992754494
1.0003905,0.992918547
1.00039314,0.992551416
1.00039437,0.992577756
1.00039463,0.986109784
1.00041188,0.986236477
1.0004119,0.992432686
1.00042875,0.986395912
1.00043056,0.991952773
1.00044444,0.986587771
1.00044638,0.991479049
1.00045828,0.986812394
1.00045942,0.991011459
1.00046974,0.987069847
1.00046984,0.990550277
1.00047786,0.990096566
1.00047859,0.987359084
1.00048373,0.989652035
1.00048482,0.987678445
1.00048767,0.989218956
1.0004886,0.988026514
1.00048983,0.988800647
1.00049019,0.988401634
